col_a,col_b,metric,effect_size,p,p_adj,n_valid,via_feat_a,via_feat_b
biology_fail,biology_pass,abs_spearman,1.0,0.0,0.0,34427,biology_pass,biology_fail
approval_outcome,regulatory_pass,abs_spearman,1.0,0.0,0.0,30683,approval_outcome,regulatory_pass
execution_fail,execution_pass,abs_spearman,1.0,0.0,0.0,52772,execution_fail,execution_pass
MaskingType-Investigator,study_design_info/masking,eta,1.0,0.0,0.0,75043,MaskingType-Investigator,study_design_info/masking
biology_pass,failure_reason,eta,1.0,0.0,0.0,20769,failure_reason,biology_pass
MaskingType-Participant,study_design_info/masking,eta,1.0,0.0,0.0,75043,MaskingType-Participant,study_design_info/masking
completion_date,start_date,abs_spearman,1.0,0.0,0.0,81786,start_date__is_nn,completion_date__is_nn
MaskingType-Care Provider,study_design_info/masking,eta,1.0,0.0,0.0,75043,MaskingType-Care Provider,study_design_info/masking
biology_fail,failure_reason,eta,1.0,0.0,0.0,20769,failure_reason,biology_fail
duration_day,duration_year,abs_spearman,0.9999999999999999,0.0,0.0,42855,duration_day,duration_year
MaskingType-Outcomes Assessor,study_design_info/masking,eta,0.9999999999999999,0.0,0.0,75043,MaskingType-Outcomes Assessor,study_design_info/masking
study_design_info/masking,study_design_info/masking_num,eta,0.9999999999999999,0.0,0.0,75043,study_design_info/masking,study_design_info/masking_num
duration_day,duration_month,abs_spearman,0.9997765906905652,0.0,0.0,42855,duration_day,duration_month
duration_month,duration_year,abs_spearman,0.9997765906905651,0.0,0.0,42855,duration_month,duration_year
mortality_YN,mortality_rate,abs_spearman,0.9604083605418094,0.0,0.0,17916,mortality_YN,mortality_rate
dropout_YN,execution_fail,abs_spearman,0.9397770465535145,0.0,0.0,38302,dropout_YN,execution_fail
dropout_YN,execution_pass,abs_spearman,0.9397770465535145,0.0,0.0,38302,dropout_YN,execution_pass
MaskingType-Participant,study_design_info/masking_num,abs_spearman,0.9149721848496128,0.0,0.0,81170,MaskingType-Participant,study_design_info/masking_num
MaskingType-Investigator,study_design_info/masking_num,abs_spearman,0.8919613115380393,0.0,0.0,81170,MaskingType-Investigator,study_design_info/masking_num
MaskingType-Investigator,MaskingType-Participant,abs_spearman,0.87781791073733,0.0,0.0,81170,MaskingType-Investigator,MaskingType-Participant
sae_YN,sae_rate,abs_spearman,0.8307614374665808,0.0,0.0,17916,sae_YN,sae_rate
intervention/intervention_type,location/facility/address/city,abs_spearman,0.8229928619716357,0.0,0.0,81786,location/facility/address/city__is_nn,intervention/intervention_type__is_nn
MaskingType-Care Provider,study_design_info/masking_num,abs_spearman,0.7790082267481676,0.0,0.0,81170,MaskingType-Care Provider,study_design_info/masking_num
execution_pass,failure_reason,eta,0.7551110080007815,0.0,0.0,20769,failure_reason,execution_pass
execution_fail,failure_reason,eta,0.7551110080007815,0.0,0.0,20769,failure_reason,execution_fail
MaskingType-Outcomes Assessor,study_design_info/masking_num,abs_spearman,0.7477494834030859,0.0,0.0,81170,MaskingType-Outcomes Assessor,study_design_info/masking_num
dropout_YN,dropout_rate,abs_spearman,0.7145032540396535,0.0,0.0,38302,dropout_YN,dropout_rate
MaskingType-Participant,Placebo Comparator Arm Number,abs_spearman,0.6869968881222193,0.0,0.0,77947,MaskingType-Participant,Placebo Comparator Arm Number
Placebo Comparator Arm Number,study_design_info/masking_num,abs_spearman,0.6845020095753104,0.0,0.0,77947,Placebo Comparator Arm Number,study_design_info/masking_num
MaskingType-Investigator,Placebo Comparator Arm Number,abs_spearman,0.674977004792241,0.0,0.0,77947,MaskingType-Investigator,Placebo Comparator Arm Number
dropout_rate,execution_fail,abs_spearman,0.671473757834261,0.0,0.0,38302,dropout_rate,execution_fail
dropout_rate,execution_pass,abs_spearman,0.671473757834261,0.0,0.0,38302,dropout_rate,execution_pass
Drug intervention Number,intervention/intervention_name,abs_spearman,0.6680168455263753,0.0,0.0,81786,Drug intervention Number,intervention/intervention_name__n_items
mortality_rate,sae_rate,abs_spearman,0.6662095727015791,0.0,0.0,17916,sae_rate,mortality_rate
MaskingType-Care Provider,MaskingType-Outcomes Assessor,abs_spearman,0.6563041314002565,0.0,0.0,81170,MaskingType-Care Provider,MaskingType-Outcomes Assessor
MaskingType-Care Provider,MaskingType-Participant,abs_spearman,0.6377727569654749,0.0,0.0,81170,MaskingType-Care Provider,MaskingType-Participant
