orig_a,orig_b,feat_a,feat_b,role_a,role_b,metric,effect_size,p,n_valid,p_adj
Active Comparator Arm Number,Behavioral intervention Number,Active Comparator Arm Number,Behavioral intervention Number,num,num,abs_spearman,0.05251917592806161,1.5845334010156038e-43,69293,5.2995703258221596e-43
Active Comparator Arm Number,Biological intervention Number,Active Comparator Arm Number,Biological intervention Number,num,num,abs_spearman,0.018290238224320028,1.4723058333831038e-06,69293,2.661947331428869e-06
Active Comparator Arm Number,Combination Product intervention Number,Active Comparator Arm Number,Combination Product intervention Number,num,num,abs_spearman,0.018033216312778266,2.0616482602972425e-06,69293,3.7043576548774135e-06
Active Comparator Arm Number,Device intervention Number,Active Comparator Arm Number,Device intervention Number,num,num,abs_spearman,0.04875300705651241,9.670213520569321e-38,69293,3.0772886432214646e-37
Active Comparator Arm Number,Diagnostic Test intervention Number,Active Comparator Arm Number,Diagnostic Test intervention Number,num,num,abs_spearman,0.0007872422749463056,0.8358329610480996,69293,0.9614430783323886
Active Comparator Arm Number,Dietary Supplement intervention Number,Active Comparator Arm Number,Dietary Supplement intervention Number,num,num,abs_spearman,0.022977331698908424,1.4561930707749342e-09,69293,2.93519194950284e-09
Active Comparator Arm Number,Drug intervention Number,Active Comparator Arm Number,Drug intervention Number,num,num,abs_spearman,0.15117273539011555,0.0,69293,0.0
Active Comparator Arm Number,Experimental Arm Number,Active Comparator Arm Number,Experimental Arm Number,num,num,abs_spearman,0.40440943182741834,0.0,69293,0.0
Active Comparator Arm Number,Genetic intervention Number,Active Comparator Arm Number,Genetic intervention Number,num,num,abs_spearman,0.017045164046604607,7.2185776966959115e-06,69293,1.2701041770135843e-05
Active Comparator Arm Number,MaskingType-Care Provider,Active Comparator Arm Number,MaskingType-Care Provider,num,num,abs_spearman,0.08115282176613021,2.337714113033373e-101,69142,1.2052754514526663e-100
Active Comparator Arm Number,MaskingType-Investigator,Active Comparator Arm Number,MaskingType-Investigator,num,num,abs_spearman,0.09564179221760105,3.4232777143698453e-140,69142,2.223530851857049e-139
Active Comparator Arm Number,MaskingType-Outcomes Assessor,Active Comparator Arm Number,MaskingType-Outcomes Assessor,num,num,abs_spearman,0.11477305479648024,2.168528694846847e-201,69142,1.81581619628742e-200
Active Comparator Arm Number,MaskingType-Participant,Active Comparator Arm Number,MaskingType-Participant,num,num,abs_spearman,0.11985187130342734,1.5038988020052754e-219,69142,1.3434571560329902e-218
Active Comparator Arm Number,No Intervention Arm Number,Active Comparator Arm Number,No Intervention Arm Number,num,num,abs_spearman,0.02087847971146813,3.8749135952884363e-08,69293,7.41891170447786e-08
Active Comparator Arm Number,Other Arm Number,Active Comparator Arm Number,Other Arm Number,num,num,abs_spearman,0.08807783891855271,2.2681369747087293e-119,69293,1.3313810789041951e-118
Active Comparator Arm Number,Other intervention Number,Active Comparator Arm Number,Other intervention Number,num,num,abs_spearman,0.02197099666108664,7.288288972187682e-09,69293,1.4373895674433708e-08
Active Comparator Arm Number,Placebo Comparator Arm Number,Active Comparator Arm Number,Placebo Comparator Arm Number,num,num,abs_spearman,0.05365337386097801,2.364297039425964e-45,69293,8.031214283485069e-45
Active Comparator Arm Number,Procedure intervention Number,Active Comparator Arm Number,Procedure intervention Number,num,num,abs_spearman,0.019835288255128026,1.77216979726372e-07,69293,3.327007047807362e-07
Active Comparator Arm Number,Radiation intervention Number,Active Comparator Arm Number,Radiation intervention Number,num,num,abs_spearman,0.03434205089907406,1.5305101877416156e-19,69293,3.870831806697318e-19
Active Comparator Arm Number,Sham Comparator Arm Number,Active Comparator Arm Number,Sham Comparator Arm Number,num,num,abs_spearman,0.0036501506512636368,0.3366348381121143,69293,0.41838557311859703
Active Comparator Arm Number,brief_title,Active Comparator Arm Number,brief_title__is_nn,num,num,abs_spearman,0.0,1.0,69293,1.0
Active Comparator Arm Number,brief_title,Active Comparator Arm Number,brief_title__n_items,num,num,abs_spearman,0.06370865843918652,3.0309941528610414e-63,69293,1.2148448305873264e-62
Active Comparator Arm Number,condition,Active Comparator Arm Number,condition__is_nn,num,num,abs_spearman,0.0,1.0,69293,1.0
Active Comparator Arm Number,condition,Active Comparator Arm Number,condition__n_items,num,num,abs_spearman,0.002786367972648642,0.46327819798335385,69293,0.5601571809297685
Active Comparator Arm Number,condition_browse/mesh_term,Active Comparator Arm Number,condition_browse/mesh_term__is_nn,num,num,abs_spearman,0.018868441294345836,6.792698189229931e-07,69293,1.2462843826596624e-06
Active Comparator Arm Number,condition_browse/mesh_term,Active Comparator Arm Number,condition_browse/mesh_term__n_items,num,num,abs_spearman,0.031228424303230404,1.9965197618536728e-16,69293,4.80464416374066e-16
Active Comparator Arm Number,eligibility/gender,Active Comparator Arm Number,eligibility/gender,num,cat,eta,0.048364692636672806,5.803767532838466e-36,69293,1.8169452411363665e-35
Active Comparator Arm Number,eligibility/healthy_volunteers,Active Comparator Arm Number,eligibility/healthy_volunteers,num,cat,eta,0.04523498650149513,1.0662607447114316e-32,69239,3.221961815541065e-32
Active Comparator Arm Number,eligibility/maximum_age,Active Comparator Arm Number,eligibility/maximum_age__years,num,num,abs_spearman,0.023838092024402367,4.572796929979772e-06,36962,8.11566360147074e-06
Active Comparator Arm Number,eligibility/minimum_age,Active Comparator Arm Number,eligibility/minimum_age__years,num,num,abs_spearman,0.003130598701565327,0.41559851215382715,67623,0.5070943924629738
Active Comparator Arm Number,enrollment,Active Comparator Arm Number,enrollment,num,num,abs_spearman,0.22178307243302714,0.0,43117,0.0
Active Comparator Arm Number,has_expanded_access,Active Comparator Arm Number,has_expanded_access,num,cat,eta,0.022596832458404967,3.3454429430764707e-09,68474,6.66594852476533e-09
Active Comparator Arm Number,icdcode,Active Comparator Arm Number,icdcode__is_nn,num,num,abs_spearman,0.027971572166127476,1.7791526127835988e-13,69293,3.9682640111829303e-13
Active Comparator Arm Number,icdcode,Active Comparator Arm Number,icdcode__n_items,num,num,abs_spearman,0.029424215160597875,9.405970002074584e-15,69293,2.1790497171472786e-14
Active Comparator Arm Number,intervention/intervention_name,Active Comparator Arm Number,intervention/intervention_name__is_nn,num,num,abs_spearman,0.0,1.0,69293,1.0
Active Comparator Arm Number,intervention/intervention_name,Active Comparator Arm Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.22012204112750186,0.0,69293,0.0
Active Comparator Arm Number,intervention_browse/mesh_term,Active Comparator Arm Number,intervention_browse/mesh_term__is_nn,num,num,abs_spearman,0.1734293704501658,0.0,69293,0.0
Active Comparator Arm Number,intervention_browse/mesh_term,Active Comparator Arm Number,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.21729294952757594,0.0,69293,0.0
Active Comparator Arm Number,ipd_info_type-Analytic Code,Active Comparator Arm Number,ipd_info_type-Analytic Code,num,num,abs_spearman,0.06172141414429307,0.004295182362403774,2139,0.006532060704312086
Active Comparator Arm Number,ipd_info_type-Clinical Study Report (CSR),Active Comparator Arm Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.0102729873961034,0.6348913770087894,2139,0.7501691720862098
Active Comparator Arm Number,ipd_info_type-Informed Consent Form (ICF),Active Comparator Arm Number,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.009967855149801754,0.6449790303963788,2139,0.7605368614276947
Active Comparator Arm Number,ipd_info_type-Statistical Analysis Plan (SAP),Active Comparator Arm Number,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.05338837151122149,0.013530428169219521,2139,0.019664674984541126
Active Comparator Arm Number,ipd_info_type-Study Protocol,Active Comparator Arm Number,ipd_info_type-Study Protocol,num,num,abs_spearman,0.02517568008542822,0.2444799268026587,2139,0.31051452691492654
Active Comparator Arm Number,location/facility/address/city,Active Comparator Arm Number,location/facility/address/city__is_nn,num,num,abs_spearman,0.02787073345765239,2.1703083681726122e-13,69293,4.825221739859135e-13
Active Comparator Arm Number,location/facility/address/city,Active Comparator Arm Number,location/facility/address/city__n_items,num,num,abs_spearman,0.02963528367837909,6.0627415763200405e-15,69293,1.4111203601950528e-14
Active Comparator Arm Number,number_of_arms,Active Comparator Arm Number,number_of_arms,num,num,abs_spearman,0.27802436840911865,0.0,69293,0.0
Active Comparator Arm Number,oversight_info/has_dmc,Active Comparator Arm Number,oversight_info/has_dmc,num,cat,eta,0.001064407010961404,0.8374566752985497,37149,0.962992040589828
Active Comparator Arm Number,oversight_info/is_fda_regulated_device,Active Comparator Arm Number,oversight_info/is_fda_regulated_device,num,cat,eta,0.017115063933572837,0.06953388598592694,11246,0.0944237021497054
Active Comparator Arm Number,oversight_info/is_fda_regulated_drug,Active Comparator Arm Number,oversight_info/is_fda_regulated_drug,num,cat,eta,0.02387083828903533,0.011065730088506238,11327,0.016197730437051045
Active Comparator Arm Number,patient_data/sharing_ipd,Active Comparator Arm Number,patient_data/sharing_ipd,num,cat,eta,0.019465101217194896,0.07841994507670358,13438,0.10582885791904659
Active Comparator Arm Number,phase,Active Comparator Arm Number,phase,num,cat,eta,0.22675933551144017,0.0,69293,0.0
Active Comparator Arm Number,responsible_party/responsible_party_type,Active Comparator Arm Number,responsible_party/responsible_party_type,num,cat,eta,0.12002857857345763,1.3211723551308974e-211,66924,1.1420581925571812e-210
Active Comparator Arm Number,smiless,Active Comparator Arm Number,smiless__is_nn,num,num,abs_spearman,0.100154628722516,6.152570785169938e-154,69293,4.276036695693107e-153
Active Comparator Arm Number,smiless,Active Comparator Arm Number,smiless__n_items,num,num,abs_spearman,0.14023907800886942,2.9461823081150095e-301,69293,3.2709212526196994e-300
Active Comparator Arm Number,sponsors/lead_sponsor/agency_class,Active Comparator Arm Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.1156124259773578,8.364002337610664e-202,69293,7.020509208501704e-201
Active Comparator Arm Number,study_design_info/allocation,Active Comparator Arm Number,study_design_info/allocation,num,cat,eta,0.16736085890265479,0.0,52870,0.0
Active Comparator Arm Number,study_design_info/intervention_model,Active Comparator Arm Number,study_design_info/intervention_model,num,cat,eta,0.3375649309351036,0.0,69093,0.0
Active Comparator Arm Number,study_design_info/masking,Active Comparator Arm Number,study_design_info/masking,num,cat,eta,0.20087415348143117,0.0,64055,0.0
Active Comparator Arm Number,study_design_info/masking_num,Active Comparator Arm Number,study_design_info/masking_num,num,num,abs_spearman,0.14069540746370549,1.432700819054195e-302,69142,1.5957164571196563e-301
Active Comparator Arm Number,study_design_info/primary_purpose,Active Comparator Arm Number,study_design_info/primary_purpose,num,cat,eta,0.08507615137435855,1.0591874460721904e-102,68722,5.568345499396159e-102
Active Comparator Arm Number,study_type,Active Comparator Arm Number,study_type,num,cat,eta,0.0,1.0,69293,1.0
Active Comparator Arm Number,intervention/intervention_type,Active Comparator Arm Number,intervention/intervention_type__is_nn,num,num,abs_spearman,0.0,1.0,69293,1.0
Active Comparator Arm Number,intervention/intervention_type,Active Comparator Arm Number,intervention/intervention_type__n_items,num,num,abs_spearman,0.0,1.0,69293,1.0
Active Comparator Arm Number,dropout_YN,Active Comparator Arm Number,dropout_YN,num,num,abs_spearman,0.021916756933092515,1.9231212997928868e-05,38016,3.336418630444474e-05
Active Comparator Arm Number,dropout_rate,Active Comparator Arm Number,dropout_rate,num,num,abs_spearman,0.05820253476496931,6.813798277034342e-30,38016,1.979761623134978e-29
Active Comparator Arm Number,start_date,Active Comparator Arm Number,start_date__is_nn,num,num,abs_spearman,0.051508853579107644,6.222131612304245e-42,69293,2.057269966960728e-41
Active Comparator Arm Number,start_date,Active Comparator Arm Number,start_date__days,num,num,abs_spearman,0.003723789707163073,0.4438029738430024,42293,0.5392361308057458
Active Comparator Arm Number,completion_date,Active Comparator Arm Number,completion_date__is_nn,num,num,abs_spearman,0.051508853579107644,6.222131612304245e-42,69293,2.057269966960728e-41
Active Comparator Arm Number,completion_date,Active Comparator Arm Number,completion_date__days,num,num,abs_spearman,0.01645495929307576,0.0007140299928321122,42293,0.0011408065402719954
Active Comparator Arm Number,duration_day,Active Comparator Arm Number,duration_day,num,num,abs_spearman,0.015586645719233815,0.001348118894710857,42293,0.0021102311527568594
Active Comparator Arm Number,duration_month,Active Comparator Arm Number,duration_month,num,num,abs_spearman,0.014981943076754914,0.002061974172498794,42293,0.003187437833377807
Active Comparator Arm Number,duration_year,Active Comparator Arm Number,duration_year,num,num,abs_spearman,0.015586645719233815,0.001348118894710857,42293,0.0021102311527568594
Active Comparator Arm Number,sae_YN,Active Comparator Arm Number,sae_YN,num,num,abs_spearman,0.0692414181552216,1.848810775419293e-20,17886,4.7519359797204467e-20
Active Comparator Arm Number,sae_rate,Active Comparator Arm Number,sae_rate,num,num,abs_spearman,0.11149958486832108,1.3934680562436047e-50,17886,5.012734467335949e-50
Active Comparator Arm Number,mortality_YN,Active Comparator Arm Number,mortality_YN,num,num,abs_spearman,0.01991757176529848,0.007725768711462305,17886,0.011438877832267366
Active Comparator Arm Number,mortality_rate,Active Comparator Arm Number,mortality_rate,num,num,abs_spearman,0.04201538778928803,1.89672462292462e-08,17886,3.6801329227599416e-08
Active Comparator Arm Number,failure_reason,Active Comparator Arm Number,failure_reason,num,cat,eta,0.07051439438627644,6.988038390958518e-11,10089,1.4726157312662735e-10
Active Comparator Arm Number,approval_outcome,Active Comparator Arm Number,approval_outcome,num,num,abs_spearman,0.04144142694022709,3.956251401550709e-10,22770,8.10611652145561e-10
Active Comparator Arm Number,execution_fail,Active Comparator Arm Number,execution_fail,num,num,abs_spearman,0.036279177228981836,1.1337188935178056e-13,41854,2.5466536231249997e-13
Active Comparator Arm Number,execution_pass,Active Comparator Arm Number,execution_pass,num,num,abs_spearman,0.036279177228981836,1.1337188935178056e-13,41854,2.5466536231249997e-13
Active Comparator Arm Number,biology_pass,Active Comparator Arm Number,biology_pass,num,num,abs_spearman,0.040762142119443595,7.552257286656215e-10,22777,1.5329494200426605e-09
Active Comparator Arm Number,biology_fail,Active Comparator Arm Number,biology_fail,num,num,abs_spearman,0.040762142119443595,7.552257286656215e-10,22777,1.5329494200426605e-09
Active Comparator Arm Number,regulatory_pass,Active Comparator Arm Number,regulatory_pass,num,num,abs_spearman,0.04144142694022709,3.956251401550709e-10,22770,8.10611652145561e-10
Behavioral intervention Number,Biological intervention Number,Behavioral intervention Number,Biological intervention Number,num,num,abs_spearman,0.04010780458470635,1.7705079845492848e-30,81786,5.187618251525097e-30
Behavioral intervention Number,Combination Product intervention Number,Behavioral intervention Number,Combination Product intervention Number,num,num,abs_spearman,0.005242351659554708,0.133819600191069,81786,0.17607842130403817
Behavioral intervention Number,Device intervention Number,Behavioral intervention Number,Device intervention Number,num,num,abs_spearman,0.004309833630864897,0.2500772427467694,71221,0.3171600067682568
Behavioral intervention Number,Diagnostic Test intervention Number,Behavioral intervention Number,Diagnostic Test intervention Number,num,num,abs_spearman,0.013171242598096189,0.0004395306516360227,71221,0.0007097439658156035
Behavioral intervention Number,Dietary Supplement intervention Number,Behavioral intervention Number,Dietary Supplement intervention Number,num,num,abs_spearman,0.013861113363560704,7.365301305152542e-05,81786,0.0001241242581736425
Behavioral intervention Number,Drug intervention Number,Behavioral intervention Number,Drug intervention Number,num,num,abs_spearman,0.08291839259740108,1.0047108929172168e-124,81786,6.040433136483267e-124
Behavioral intervention Number,Experimental Arm Number,Behavioral intervention Number,Experimental Arm Number,num,num,abs_spearman,0.028174284323483022,3.3724913493423577e-15,78123,7.881242393385806e-15
Behavioral intervention Number,Genetic intervention Number,Behavioral intervention Number,Genetic intervention Number,num,num,abs_spearman,0.003073069267666727,0.4121559008949208,71221,0.5036011798909458
Behavioral intervention Number,MaskingType-Care Provider,Behavioral intervention Number,MaskingType-Care Provider,num,num,abs_spearman,0.016265938780005148,3.5787393172116307e-06,81170,6.36118625437873e-06
Behavioral intervention Number,MaskingType-Investigator,Behavioral intervention Number,MaskingType-Investigator,num,num,abs_spearman,0.01713506364719036,1.0494992201140856e-06,81170,1.909429209369868e-06
Behavioral intervention Number,MaskingType-Outcomes Assessor,Behavioral intervention Number,MaskingType-Outcomes Assessor,num,num,abs_spearman,0.03417083530748331,2.0742827869740863e-22,81170,5.473145546495786e-22
Behavioral intervention Number,MaskingType-Participant,Behavioral intervention Number,MaskingType-Participant,num,num,abs_spearman,0.01418206901695117,5.330054112615292e-05,81170,9.039501240282157e-05
Behavioral intervention Number,No Intervention Arm Number,Behavioral intervention Number,No Intervention Arm Number,num,num,abs_spearman,0.07000696214236035,5.153719321133037e-76,69293,2.252726369929221e-75
Behavioral intervention Number,Other Arm Number,Behavioral intervention Number,Other Arm Number,num,num,abs_spearman,0.020989886001033936,4.428717436170381e-09,78123,8.784128476422417e-09
Behavioral intervention Number,Other intervention Number,Behavioral intervention Number,Other intervention Number,num,num,abs_spearman,0.012916818398693701,0.0005663691845996312,71221,0.0009078103858319735
Behavioral intervention Number,Placebo Comparator Arm Number,Behavioral intervention Number,Placebo Comparator Arm Number,num,num,abs_spearman,0.011489385203939608,0.00132092559796765,78123,0.002069529509890705
Behavioral intervention Number,Procedure intervention Number,Behavioral intervention Number,Procedure intervention Number,num,num,abs_spearman,0.0008594967383434452,0.8185796642855168,71221,0.9437837867923592
Behavioral intervention Number,Radiation intervention Number,Behavioral intervention Number,Radiation intervention Number,num,num,abs_spearman,0.010946742680330858,0.0017443595371257302,81786,0.0027085117924539374
Behavioral intervention Number,Sham Comparator Arm Number,Behavioral intervention Number,Sham Comparator Arm Number,num,num,abs_spearman,0.023108415934750902,1.1746875215076307e-09,69293,2.373278568162219e-09
Behavioral intervention Number,brief_title,Behavioral intervention Number,brief_title__is_nn,num,num,abs_spearman,0.0,1.0,81786,1.0
Behavioral intervention Number,brief_title,Behavioral intervention Number,brief_title__n_items,num,num,abs_spearman,0.027731747726650005,2.152987093846538e-15,81786,5.0415297514263605e-15
Behavioral intervention Number,condition,Behavioral intervention Number,condition__is_nn,num,num,abs_spearman,0.0,1.0,81786,1.0
Behavioral intervention Number,condition,Behavioral intervention Number,condition__n_items,num,num,abs_spearman,0.02433403117020361,3.4019633617001556e-12,81786,7.384024161091842e-12
Behavioral intervention Number,condition_browse/mesh_term,Behavioral intervention Number,condition_browse/mesh_term__is_nn,num,num,abs_spearman,0.013734470250395463,8.567530032733651e-05,81786,0.00014417514219733382
Behavioral intervention Number,condition_browse/mesh_term,Behavioral intervention Number,condition_browse/mesh_term__n_items,num,num,abs_spearman,0.019078778355413686,4.853099448680521e-08,81786,9.261131567361235e-08
Behavioral intervention Number,eligibility/gender,Behavioral intervention Number,eligibility/gender,num,cat,eta,0.011321235913966018,0.010417047149956626,71221,0.015261061908136288
Behavioral intervention Number,eligibility/healthy_volunteers,Behavioral intervention Number,eligibility/healthy_volunteers,num,cat,eta,0.02716167257404971,8.43577089060815e-15,81613,1.9582033296501885e-14
Behavioral intervention Number,eligibility/maximum_age,Behavioral intervention Number,eligibility/maximum_age__years,num,num,abs_spearman,0.02147197125707112,8.976604665916968e-06,42760,1.5762355338080577e-05
Behavioral intervention Number,eligibility/minimum_age,Behavioral intervention Number,eligibility/minimum_age__years,num,num,abs_spearman,0.002323982915001798,0.5119059984888573,79650,0.6159533742204915
Behavioral intervention Number,enrollment,Behavioral intervention Number,enrollment,num,num,abs_spearman,0.010710491107036526,0.023945001590183743,44446,0.03420011530040629
Behavioral intervention Number,has_expanded_access,Behavioral intervention Number,has_expanded_access,num,cat,eta,0.008484088251361299,0.024660330133797696,70125,0.035192873599567555
Behavioral intervention Number,icdcode,Behavioral intervention Number,icdcode__is_nn,num,num,abs_spearman,0.0007496888376953422,0.8302393102227076,81786,0.955958118960871
Behavioral intervention Number,icdcode,Behavioral intervention Number,icdcode__n_items,num,num,abs_spearman,0.01726012404233754,7.958353807478437e-07,81786,1.4563075029482657e-06
Behavioral intervention Number,intervention/intervention_name,Behavioral intervention Number,intervention/intervention_name__is_nn,num,num,abs_spearman,0.0,1.0,81786,1.0
Behavioral intervention Number,intervention/intervention_name,Behavioral intervention Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.05031123543926616,5.4014431860737425e-47,81786,1.878880387548174e-46
Behavioral intervention Number,intervention_browse/mesh_term,Behavioral intervention Number,intervention_browse/mesh_term__is_nn,num,num,abs_spearman,0.04663726701002456,1.2752339223901761e-40,81786,4.160974535498462e-40
Behavioral intervention Number,intervention_browse/mesh_term,Behavioral intervention Number,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.047029357179240235,2.807634583137777e-41,81786,9.239138424624786e-41
Behavioral intervention Number,ipd_info_type-Analytic Code,Behavioral intervention Number,ipd_info_type-Analytic Code,num,num,abs_spearman,0.02087539544944278,0.3172814552469134,2297,0.39617429284334316
Behavioral intervention Number,ipd_info_type-Clinical Study Report (CSR),Behavioral intervention Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13678849976767984,1.9982901275958542e-10,2145,4.155630277316334e-10
Behavioral intervention Number,ipd_info_type-Informed Consent Form (ICF),Behavioral intervention Number,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.0293212859938801,0.17462539197059856,2145,0.22676503628468983
Behavioral intervention Number,ipd_info_type-Statistical Analysis Plan (SAP),Behavioral intervention Number,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.07645458448545465,0.000244823058247494,2297,0.00040149132959416784
Behavioral intervention Number,ipd_info_type-Study Protocol,Behavioral intervention Number,ipd_info_type-Study Protocol,num,num,abs_spearman,0.026843641906049157,0.19841953435305015,2297,0.25613219980566465
Behavioral intervention Number,location/facility/address/city,Behavioral intervention Number,location/facility/address/city__is_nn,num,num,abs_spearman,0.006054452983583278,0.08337026881350001,81786,0.11233489109224994
Behavioral intervention Number,location/facility/address/city,Behavioral intervention Number,location/facility/address/city__n_items,num,num,abs_spearman,0.04182162349971741,5.399880303211045e-33,81786,1.6373982594815342e-32
Behavioral intervention Number,number_of_arms,Behavioral intervention Number,number_of_arms,num,num,abs_spearman,0.027522774585890315,1.425100704089753e-14,78123,3.2905149147587316e-14
Behavioral intervention Number,oversight_info/has_dmc,Behavioral intervention Number,oversight_info/has_dmc,num,cat,eta,0.010336315744858585,0.026752669215610876,45926,0.03813188085490065
Behavioral intervention Number,oversight_info/is_fda_regulated_device,Behavioral intervention Number,oversight_info/is_fda_regulated_device,num,cat,eta,0.003587769383631212,0.6748268986505961,13676,0.7914355291295381
Behavioral intervention Number,oversight_info/is_fda_regulated_drug,Behavioral intervention Number,oversight_info/is_fda_regulated_drug,num,cat,eta,0.03953306804429993,3.50253070109882e-06,13761,6.23529415282705e-06
Behavioral intervention Number,patient_data/sharing_ipd,Behavioral intervention Number,patient_data/sharing_ipd,num,cat,eta,0.047151717896353765,2.9636681485511235e-07,13510,5.50146731635425e-07
