col_a,col_b,sub_a,sub_b,role_a,role_b,metric,effect_size,p,n_valid,p_adj
execution_fail,execution_pass,execution_fail,execution_pass,num,num,abs_spearman,1.0,0.0,52772,0.0
biology_fail,biology_pass,biology_fail,biology_pass,num,num,abs_spearman,1.0,0.0,34427,0.0
biology_pass,failure_reason,biology_pass,failure_reason,num,cat,eta,1.0,0.0,20769,0.0
biology_fail,failure_reason,biology_fail,failure_reason,num,cat,eta,1.0,0.0,20769,0.0
MaskingType-Participant,study_design_info/masking,MaskingType-Participant,study_design_info/masking,num,cat,eta,1.0,0.0,75043,0.0
MaskingType-Care Provider,study_design_info/masking,MaskingType-Care Provider,study_design_info/masking,num,cat,eta,1.0,0.0,75043,0.0
MaskingType-Investigator,study_design_info/masking,MaskingType-Investigator,study_design_info/masking,num,cat,eta,1.0,0.0,75043,0.0
MaskingType-Outcomes Assessor,study_design_info/masking,MaskingType-Outcomes Assessor,study_design_info/masking,num,cat,eta,0.9999999999999999,0.0,75043,0.0
study_design_info/masking,study_design_info/masking_num,study_design_info/masking,study_design_info/masking_num,cat,num,eta,0.9999999999999999,0.0,75043,0.0
duration_day,duration_year,duration_day,duration_year,num,num,abs_spearman,0.9999999999999999,0.0,42855,0.0
duration_day,duration_month,duration_day,duration_month,num,num,abs_spearman,0.9997765906905652,0.0,42855,0.0
duration_month,duration_year,duration_month,duration_year,num,num,abs_spearman,0.9997765906905651,0.0,42855,0.0
mortality_YN,mortality_rate,mortality_YN,mortality_rate,num,num,abs_spearman,0.9604083605418094,0.0,17916,0.0
dropout_YN,execution_fail,dropout_YN,execution_fail,num,num,abs_spearman,0.9397770465535145,0.0,38302,0.0
dropout_YN,execution_pass,dropout_YN,execution_pass,num,num,abs_spearman,0.9397770465535145,0.0,38302,0.0
MaskingType-Participant,study_design_info/masking_num,MaskingType-Participant,study_design_info/masking_num,num,num,abs_spearman,0.9149721848496128,0.0,81170,0.0
MaskingType-Investigator,study_design_info/masking_num,MaskingType-Investigator,study_design_info/masking_num,num,num,abs_spearman,0.8919613115380393,0.0,81170,0.0
MaskingType-Investigator,MaskingType-Participant,MaskingType-Investigator,MaskingType-Participant,num,num,abs_spearman,0.87781791073733,0.0,81170,0.0
completion_date,start_date,completion_date__days,start_date__days,num,num,abs_spearman,0.8684540363410173,0.0,42855,0.0
sae_YN,sae_rate,sae_YN,sae_rate,num,num,abs_spearman,0.8307614374665808,0.0,17916,0.0
MaskingType-Care Provider,study_design_info/masking_num,MaskingType-Care Provider,study_design_info/masking_num,num,num,abs_spearman,0.7790082267481676,0.0,81170,0.0
execution_fail,failure_reason,execution_fail,failure_reason,num,cat,eta,0.7551110080007815,0.0,20769,0.0
execution_pass,failure_reason,execution_pass,failure_reason,num,cat,eta,0.7551110080007815,0.0,20769,0.0
MaskingType-Outcomes Assessor,study_design_info/masking_num,MaskingType-Outcomes Assessor,study_design_info/masking_num,num,num,abs_spearman,0.7477494834030859,0.0,81170,0.0
dropout_YN,dropout_rate,dropout_YN,dropout_rate,num,num,abs_spearman,0.7145032540396535,0.0,38302,0.0
MaskingType-Participant,Placebo Comparator Arm Number,MaskingType-Participant,Placebo Comparator Arm Number,num,num,abs_spearman,0.6869968881222193,0.0,77947,0.0
Placebo Comparator Arm Number,study_design_info/masking_num,Placebo Comparator Arm Number,study_design_info/masking_num,num,num,abs_spearman,0.6845020095753104,0.0,77947,0.0
